1920,2239,0
1481,1800,2013
964,1412,1633
1075,1285,1493
1279,1707,0
897,1216,0
1407,1735,0
1898,2217,0
544,863,0
1080,1399,0
862,1190,0
1898,2217,0
309,637,859
862,1190,0
1388,1707,0
555,874,1085
2270,2589,0
826,1145,0
781,984,0
732,1051,0
759,1078,0
640,959,0
1920,2239,0
1588,1907,0
1368,1687,0
880,1087,1318
866,1185,1380
1481,1800,2013
1075,1285,1493
1080,1399,0
862,1190,0
1388,1707,0
555,874,1085
2270,2589,0
1169,2256,2584
967,1617,1944
781,984,0
1823,2142,0
1920,2239,0
1021,1252,0
480,724,950
807,1038,0
1197,1428,0
1486,1805,2017
875,1085,1309
2154,3541,3868
2030,2349,2561
786,1105,0
1116,1435,0
716,1043,0
653,972,0
573,892,0
206,525,0
648,967,0
731,1050,0
726,1045,0
650,969,0
427,746,0
432,751,0
154,473,0
226,545,0
630,949,0
939,1258,0
447,766,0
438,757,0
507,826,0
700,1019,0
658,977,0
650,969,0
530,849,0
517,836,0
505,824,0
838,1157,0
416,735,0
420,574,893
296,615,0
867,1186,0
324,540,0
1650,1969,0
462,781,0
473,792,0
458,777,0
630,949,0
645,964,0
648,967,0
572,891,0
637,956,0
555,874,0
635,954,0
841,1160,0
658,977,0
646,965,0
820,1139,0
554,873,0
715,1034,0
106,425,0
832,1066,0
623,1604,1923
538,857,0
658,977,0
